,Tokens,X,_,Tags,is_negative
838,to,-X-,_,O,False
839,the,-X-,_,O,False
840,plug,-X-,_,O,False
841,.,-X-,_,O,False
842,,,,,
843,i,-X-,_,O,False
844,'m,-X-,_,O,False
845,looking,-X-,_,O,False
846,for,-X-,_,O,False
847,a,-X-,_,O,False
848,60,-X-,_,B-SIZE,False
849,inch,-X-,_,I-SIZE,False
850,white,-X-,_,B-COLOUR,False
851,bathtub,-X-,_,B-PRODUCT,False
852,that,-X-,_,O,False
853,is,-X-,_,O,False
854,freestanding,-X-,_,B-ATTRIBUTE,False
855,and,-X-,_,O,False
856,reasonably,-X-,_,B-PRICE,False
857,priced,-X-,_,I-PRICE,False
858,,,,,
859,i,-X-,_,O,False
860,'m,-X-,_,O,False
861,looking,-X-,_,O,False
862,for,-X-,_,O,False
863,flavored,-X-,_,B-ATTRIBUTE,True
864,mass,-X-,_,B-PRODUCT,False
865,gained,-X-,_,I-PRODUCT,False
866,protein,-X-,_,I-PRODUCT,False
867,,,,,
868,do,-X-,_,O,False
869,you,-X-,_,O,False
870,have,-X-,_,O,False
871,a,-X-,_,O,False
872,wall,-X-,_,B-ATTRIBUTE,False
873,mount,-X-,_,I-ATTRIBUTE,False
874,sink,-X-,_,B-PRODUCT,False
875,without,-X-,_,O,False
876,a,-X-,_,O,False
877,facet,-X-,_,B-ATTRIBUTE,True
878,hole,-X-,_,I-ATTRIBUTE,True
879,,,,,
880,just,-X-,_,O,False
881,shower,-X-,_,B-PRODUCT,False
882,base,-X-,_,I-PRODUCT,False
883,without,-X-,_,O,False
884,walls,-X-,_,B-ATTRIBUTE,True
885,,,,,
886,i,-X-,_,O,False
887,'m,-X-,_,O,False
888,looking,-X-,_,O,False
889,for,-X-,_,O,False
890,a,-X-,_,O,False
891,shower,-X-,_,B-PRODUCT,False
892,unit,-X-,_,I-PRODUCT,False
893,",",-X-,_,O,False
894,60,-X-,_,B-SIZE,False
895,'',-X-,_,I-SIZE,False
896,wide,-X-,_,I-SIZE,False
897,by,-X-,_,O,False
898,42,-X-,_,B-SIZE,False
899,'',-X-,_,I-SIZE,False
900,deep,-X-,_,I-SIZE,False
901,",",-X-,_,O,False
902,with,-X-,_,O,False
903,no,-X-,_,O,False
904,seat,-X-,_,B-ATTRIBUTE,True
905,and,-X-,_,O,False
906,no,-X-,_,O,False
907,top,-X-,_,B-ATTRIBUTE,True
908,,,,,
909,luggage,-X-,_,B-PRODUCT,False
910,without,-X-,_,O,False
911,wheels,-X-,_,B-ATTRIBUTE,True
912,,,,,
913,i,-X-,_,O,False
914,found,-X-,_,O,False
915,a,-X-,_,O,False
916,vanity,-X-,_,B-PRODUCT,False
917,top,-X-,_,I-PRODUCT,False
918,i,-X-,_,O,False
919,love,-X-,_,O,False
920,but,-X-,_,O,False
921,it,-X-,_,O,False
922,has,-X-,_,O,False
923,only,-X-,_,O,False
924,one,-X-,_,B-ATTRIBUTE,True
925,hole,-X-,_,I-ATTRIBUTE,True
926,for,-X-,_,O,False
927,taps,-X-,_,B-ATTRIBUTE,False
928,and,-X-,_,O,False
929,that,-X-,_,O,False
930,does,-X-,_,O,False
931,n't,-X-,_,O,False
932,suit,-X-,_,O,False
933,our,-X-,_,O,False
934,needs,-X-,_,O,False
935,,,,,
936,careless,-X-,_,B-ATTRIBUTE,False
937,shower,-X-,_,B-PRODUCT,False
938,,,,,
939,walk,-X-,_,B-ATTRIBUTE,False
940,in,-X-,_,I-ATTRIBUTE,False
941,stubs,-X-,_,B-PRODUCT,False
942,for,-X-,_,O,False
943,seniors,-X-,_,B-ATTRIBUTE,False
944,,,,,
945,i,-X-,_,O,False
946,am,-X-,_,O,False
947,looking,-X-,_,O,False
948,for,-X-,_,O,False
949,a,-X-,_,O,False
950,shower,-X-,_,B-PRODUCT,False
951,door,-X-,_,I-PRODUCT,False
952,about,-X-,_,O,False
953,30,-X-,_,B-SIZE,False
954,inches,-X-,_,I-SIZE,False
955,,,,,
956,i,-X-,_,O,False
957,need,-X-,_,O,False
958,a,-X-,_,O,False
959,toilet,-X-,_,B-PRODUCT,False
960,that,-X-,_,O,False
961,is,-X-,_,O,False
962,only,-X-,_,O,False
963,28,-X-,_,B-SIZE,False
964,inches,-X-,_,I-SIZE,False
965,high,-X-,_,I-SIZE,False
966,,,,,
967,hi,-X-,_,O,False
968,",",-X-,_,O,False
969,i,-X-,_,O,False
970,am,-X-,_,O,False
971,looking,-X-,_,O,False
972,for,-X-,_,O,False
973,bathroom,-X-,_,B-PRODUCT,False
974,ed,-X-,_,I-PRODUCT,False
975,mirrors,-X-,_,I-PRODUCT,False
976,that,-X-,_,O,False
977,are,-X-,_,O,False
978,24,-X-,_,B-SIZE,False
979,inch,-X-,_,I-SIZE,False
980,.,-X-,_,O,False
981,that,-X-,_,O,False
982,are,-X-,_,O,False
983,hard,-X-,_,B-ATTRIBUTE,False
984,wired,-X-,_,I-ATTRIBUTE,False
985,and,-X-,_,O,False
986,can,-X-,_,O,False
987,be,-X-,_,O,False
988,turned,-X-,_,B-ATTRIBUTE,False
989,on,-X-,_,I-ATTRIBUTE,False
990,from,-X-,_,I-ATTRIBUTE,False
991,the,-X-,_,I-ATTRIBUTE,False
992,mirror,-X-,_,I-ATTRIBUTE,False
993,,,,,
994,denim,-X-,_,B-MATERIAL,False
995,skirts,-X-,_,B-PRODUCT,False
996,?,-X-,_,O,False
997,,,,,
998,touch,-X-,_,O,False
999,of,-X-,_,O,False
1000,linen,-X-,_,B-MATERIAL,False
1001,button,-X-,_,B-ATTRIBUTE,False
1002,skirt,-X-,_,B-PRODUCT,False
1003,in,-X-,_,O,False
1004,patterned,-X-,_,B-COLOUR,False
1005,white,-X-,_,I-COLOUR,False
1006,colour,-X-,_,I-COLOUR,False
1007,,,,,
1008,base,-X-,_,B-PRODUCT,False
1009,cabinet,-X-,_,I-PRODUCT,False
1010,42,-X-,_,B-SIZE,False
1011,inches,-X-,_,I-SIZE,False
1012,long,-X-,_,I-SIZE,False
1013,,,,,
1014,do,-X-,_,O,False
1015,you,-X-,_,O,False
1016,have,-X-,_,O,False
1017,the,-X-,_,O,False
1018,sweater,-X-,_,B-PRODUCT,False
1019,in,-X-,_,O,False
1020,medium,-X-,_,B-SIZE,False
1021,?,-X-,_,O,False
1022,,,,,
1023,hi,-X-,_,O,False
1024,.,-X-,_,O,False
1025,do,-X-,_,O,False
1026,you,-X-,_,O,False
1027,have,-X-,_,O,False
1028,sheer,-X-,_,B-PRODUCT,False
1029,curtains,-X-,_,I-PRODUCT,False
1030,which,-X-,_,O,False
1031,i,-X-,_,O,False
1032,can,-X-,_,O,False
1033,place,-X-,_,O,False
1034,on,-X-,_,O,False
1035,hooks,-X-,_,B-ATTRIBUTE,False
1036,instead,-X-,_,O,False
1037,of,-X-,_,O,False
1038,a,-X-,_,O,False
1039,rod,-X-,_,B-ATTRIBUTE,True
1040,,,,,
1041,looking,-X-,_,O,False
1042,for,-X-,_,O,False
1043,grey,-X-,_,B-COLOUR,False
1044,bravery,-X-,_,B-PRODUCT,False
1045,panels,-X-,_,I-PRODUCT,False
1046,10,-X-,_,B-SIZE,False
1047,feet,-X-,_,I-SIZE,False
1048,in,-X-,_,I-SIZE,False
1049,length,-X-,_,I-SIZE,False
1050,,,,,
1051,twin,-X-,_,O,False
1052,white,-X-,_,B-COLOUR,False
1053,sleeveless,-X-,_,B-ATTRIBUTE,False
1054,button,-X-,_,B-ATTRIBUTE,False
1055,closure,-X-,_,I-ATTRIBUTE,False
1056,top,-X-,_,B-PRODUCT,False
1057,,,,,
1058,do,-X-,_,O,False
1059,you,-X-,_,O,False
1060,have,-X-,_,O,False
1061,waterproof,-X-,_,B-ATTRIBUTE,False
1062,queen,-X-,_,B-SIZE,False
1063,size,-X-,_,I-SIZE,False
1064,mattress,-X-,_,B-PRODUCT,False
1065,protectors,-X-,_,I-PRODUCT,False
1066,for,-X-,_,O,False
1067,over,-X-,_,O,False
1068,18,-X-,_,B-SIZE,False
1069,inch,-X-,_,I-SIZE,False
1070,actresses,-X-,_,O,False
1071,?,-X-,_,O,False
1072,,,,,
1073,looking,-X-,_,O,False
1074,for,-X-,_,O,False
1075,mercerized,-X-,_,O,False
1076,cotton,-X-,_,B-MATERIAL,False
1077,high,-X-,_,B-ATTRIBUTE,False
1078,-,-X-,_,B-ATTRIBUTE,False
1079,performance,-X-,_,B-ATTRIBUTE,False
1080,t,-X-,_,B-PRODUCT,False
1081,-,-X-,_,B-PRODUCT,False
1082,shirt,-X-,_,B-PRODUCT,False
1083,in,-X-,_,O,False
1084,size,-X-,_,B-SIZE,False
1085,medium,-X-,_,I-SIZE,False
1086,,,,,
1087,are,-X-,_,O,False
1088,the,-X-,_,O,False
1089,round,-X-,_,B-ATTRIBUTE,False
1090,velvet,-X-,_,B-MATERIAL,False
1091,floor,-X-,_,B-PRODUCT,False
1092,cushion,-X-,_,I-PRODUCT,False
1093,available,-X-,_,O,False
1094,in,-X-,_,O,False
1095,store,-X-,_,O,False
1096,?,-X-,_,O,False
1097,,,,,
1098,i,-X-,_,O,False
1099,would,-X-,_,O,False
1100,like,-X-,_,O,False
1101,the,-X-,_,O,False
1102,sweater,-X-,_,B-PRODUCT,False
1103,as,-X-,_,O,False
1104,well,-X-,_,O,False
1105,as,-X-,_,O,False
1106,the,-X-,_,O,False
1107,icons,-X-,_,B-PRODUCT,False
1108,pencil,-X-,_,I-PRODUCT,False
1109,skirt,-X-,_,I-PRODUCT,False
1110,in,-X-,_,O,False
1111,green,-X-,_,B-COLOUR,False
1112,,,,,
1113,sleepless,-X-,_,B-ATTRIBUTE,False
1114,sweater,-X-,_,B-PRODUCT,False
1115,,,,,
1116,flavored,-X-,_,B-ATTRIBUTE,True
1117,sweetened,-X-,_,B-ATTRIBUTE,True
1118,,,,,
1119,do,-X-,_,O,False
1120,you,-X-,_,O,False
1121,have,-X-,_,O,False
1122,the,-X-,_,O,False
1123,stainless,-X-,_,B-MATERIAL,False
1124,steel,-X-,_,I-MATERIAL,False
1125,shaker,-X-,_,B-PRODUCT,False
1126,cups,-X-,_,I-PRODUCT,False
1127,,,,,
1128,i,-X-,_,O,False
1129,am,-X-,_,O,False
1130,looking,-X-,_,O,False
1131,for,-X-,_,O,False
1132,flavor,-X-,_,B-PRODUCT,False
1133,powders,-X-,_,I-PRODUCT,False
1134,which,-X-,_,O,False
1135,i,-X-,_,O,False
1136,can,-X-,_,O,False
1137,use,-X-,_,O,False
1138,in,-X-,_,O,False
1139,yogurt,-X-,_,O,False
1140,for,-X-,_,O,False
1141,example,-X-,_,O,False
1142,,,,,
1143,hi,-X-,_,O,False
1144,",",-X-,_,O,False
1145,do,-X-,_,O,False
1146,you,-X-,_,O,False
1147,sell,-X-,_,O,False
1148,fingerless,-X-,_,B-ATTRIBUTE,False
1149,gloves,-X-,_,B-PRODUCT,False
1150,please,-X-,_,O,False
1151,,,,,
1152,need,-X-,_,O,False
1153,an,-X-,_,O,False
1154,inexpensive,-X-,_,B-PRICE,False
1155,thermostatic,-X-,_,B-PRODUCT,False
1156,shower,-X-,_,I-PRODUCT,False
1157,set,-X-,_,I-PRODUCT,False
1158,with,-X-,_,O,False
1159,an,-X-,_,O,False
1160,extra,-X-,_,B-ATTRIBUTE,False
1161,outlet,-X-,_,I-ATTRIBUTE,False
1162,for,-X-,_,O,False
1163,biden,-X-,_,O,False
1164,.,-X-,_,O,False
1165,can,-X-,_,O,False
1166,you,-X-,_,O,False
1167,suggest,-X-,_,O,False
1168,a,-X-,_,O,False
1169,couple,-X-,_,O,False
1170,.,-X-,_,O,False
1171,,,,,
1172,hi,-X-,_,O,False
1173,",",-X-,_,O,False
1174,can,-X-,_,O,False
1175,i,-X-,_,O,False
1176,put,-X-,_,O,False
1177,a,-X-,_,O,False
1178,tackles,-X-,_,B-ATTRIBUTE,True
1179,toilet,-X-,_,B-PRODUCT,False
1180,into,-X-,_,O,False
1181,a,-X-,_,O,False
1182,2,-X-,_,B-SIZE,False
1183,'',-X-,_,I-SIZE,False
1184,4,-X-,_,B-SIZE,False
1185,'',-X-,_,I-SIZE,False
1186,wall,-X-,_,O,False
1187,?,-X-,_,O,False
1188,,,,,
1189,i,-X-,_,O,False
1190,am,-X-,_,O,False
1191,looking,-X-,_,O,False
1192,for,-X-,_,O,False
1193,a,-X-,_,O,False
1194,left,-X-,_,B-ATTRIBUTE,False
1195,offset,-X-,_,I-ATTRIBUTE,False
1196,vanity,-X-,_,B-PRODUCT,False
1197,set,-X-,_,I-PRODUCT,False
1198,up,-X-,_,O,False
1199,to,-X-,_,O,False
1200,48,-X-,_,B-SIZE,False
1201,inches,-X-,_,I-SIZE,False
1202,wide,-X-,_,I-SIZE,False
1203,",",-X-,_,O,False
1204,white,-X-,_,B-COLOUR,False
1205,",",-X-,_,O,False
1206,brushed,-X-,_,B-ATTRIBUTE,False
1207,nickel,-X-,_,B-MATERIAL,False
1208,hardware,-X-,_,B-ATTRIBUTE,False
1209,,,,,
1210,seamless,-X-,_,B-ATTRIBUTE,False
1211,undermount,-X-,_,B-PRODUCT,False
1212,,,,,
1213,touches,-X-,_,B-ATTRIBUTE,True
1214,kitchen,-X-,_,B-PRODUCT,False
1215,facet,-X-,_,I-PRODUCT,False
1216,,,,,
1217,looking,-X-,_,O,False
1218,for,-X-,_,O,False
1219,bowl,-X-,_,B-PRODUCT,False
1220,with,-X-,_,O,False
1221,pattern,-X-,_,B-ATTRIBUTE,False
1222,les,-X-,_,O,False
1223,than,-X-,_,O,False
1224,5,-X-,_,B-SIZE,True
1225,inches,-X-,_,I-SIZE,True
1226,deep,-X-,_,I-SIZE,True
1227,.,-X-,_,O,False
1228,can,-X-,_,O,False
1229,be,-X-,_,O,False
1230,7,-X-,_,B-SIZE,False
1231,inches,-X-,_,I-SIZE,False
1232,wide,-X-,_,I-SIZE,False
1233,,,,,
1234,looking,-X-,_,O,False
1235,shower,-X-,_,B-PRODUCT,False
1236,door,-X-,_,I-PRODUCT,False
1237,frameless,-X-,_,B-ATTRIBUTE,False
1238,of,-X-,_,O,False
1239,60,-X-,_,B-SIZE,False
1240,inch,-X-,_,I-SIZE,False
1241,standing,-X-,_,B-ATTRIBUTE,False
1242,shower,-X-,_,B-PRODUCT,False
1243,,,,,
1244,do,-X-,_,O,False
1245,you,-X-,_,O,False
1246,sell,-X-,_,O,False
1247,beige,-X-,_,B-COLOUR,False
1248,toilets,-X-,_,B-PRODUCT,False
1249,.,-X-,_,O,False
1250,bone,-X-,_,B-COLOUR,True
1251,and,-X-,_,O,False
1252,biscuit,-X-,_,B-COLOUR,True
1253,are,-X-,_,O,False
1254,too,-X-,_,O,False
1255,light,-X-,_,O,False
1256,in,-X-,_,O,False
1257,colour,-X-,_,O,False
1258,,,,,
1259,we,-X-,_,O,False
1260,'re,-X-,_,O,False
1261,looking,-X-,_,O,False
1262,for,-X-,_,O,False
1263,a,-X-,_,O,False
1264,shower,-X-,_,B-PRODUCT,False
1265,door,-X-,_,I-PRODUCT,False
1266,set,-X-,_,I-PRODUCT,False
1267,greater,-X-,_,O,False
1268,than,-X-,_,O,False
1269,70,-X-,_,B-SIZE,False
1270,inches,-X-,_,I-SIZE,False
1271,wide,-X-,_,I-SIZE,False
1272,,,,,
1273,18,-X-,_,B-SIZE,False
1274,inch,-X-,_,I-SIZE,False
1275,deep,-X-,_,I-SIZE,False
1276,by,-X-,_,O,False
1277,36,-X-,_,B-SIZE,False
1278,inches,-X-,_,I-SIZE,False
1279,long,-X-,_,I-SIZE,False
1280,brown,-X-,_,B-COLOUR,False
1281,freestanding,-X-,_,B-ATTRIBUTE,False
1282,vanity,-X-,_,B-PRODUCT,False
1283,,,,,
1284,looking,-X-,_,O,False
1285,for,-X-,_,O,False
1286,a,-X-,_,O,False
1287,36,-X-,_,B-SIZE,False
1288,inch,-X-,_,I-SIZE,False
1289,vanity,-X-,_,B-PRODUCT,False
1290,with,-X-,_,O,False
1291,granite,-X-,_,B-MATERIAL,False
1292,top,-X-,_,B-ATTRIBUTE,False
1293,,,,,
1294,i,-X-,_,O,False
1295,am,-X-,_,O,False
1296,looking,-X-,_,O,False
1297,for,-X-,_,O,False
1298,bathroom,-X-,_,B-PRODUCT,False
1299,mirrors,-X-,_,I-PRODUCT,False
1300,black,-X-,_,B-COLOUR,False
1301,framed,-X-,_,B-ATTRIBUTE,False
1302,in,-X-,_,O,False
1303,rectangular,-X-,_,B-SHAPE,False
1304,and,-X-,_,O,False
1305,oval,-X-,_,B-SHAPE,False
1306,,,,,
1307,looking,-X-,_,O,False
1308,at,-X-,_,O,False
1309,36,-X-,_,B-SIZE,False
1310,inch,-X-,_,I-SIZE,False
1311,medicine,-X-,_,B-PRODUCT,False
1312,cabinet,-X-,_,I-PRODUCT,False
1313,for,-X-,_,O,False
1314,$,-X-,_,B-PRICE,False
1315,399,-X-,_,I-PRICE,False
1316,.,-X-,_,O,False
1317,is,-X-,_,O,False
1318,it,-X-,_,O,False
1319,recessed,-X-,_,O,False
1320,able,-X-,_,O,False
1321,to,-X-,_,O,False
1322,fit,-X-,_,O,False
1323,into,-X-,_,O,False
1324,wall,-X-,_,O,False
1325,as,-X-,_,O,False
1326,a,-X-,_,O,False
1327,flush,-X-,_,O,False
1328,mount,-X-,_,O,False
1329,?,-X-,_,O,False
1330,,,,,
1331,vessel,-X-,_,B-PRODUCT,False
1332,bag,-X-,_,I-PRODUCT,False
1333,in,-X-,_,O,False
1334,goldfish,-X-,_,B-COLOUR,False
1335,color,-X-,_,O,False
1336,,,,,
1337,looking,-X-,_,O,False
1338,for,-X-,_,O,False
1339,protein,-X-,_,B-PRODUCT,False
1340,powder,-X-,_,I-PRODUCT,False
1341,no,-X-,_,O,False
1342,car,-X-,_,B-ATTRIBUTE,True
1343,no,-X-,_,O,False
1344,super,-X-,_,B-ATTRIBUTE,True
1345,,,,,
1346,i,-X-,_,O,False
1347,am,-X-,_,O,False
1348,brand,-X-,_,O,False
1349,new,-X-,_,O,False
1350,to,-X-,_,O,False
1351,fat,-X-,_,B-PRODUCT,False
1352,burner,-X-,_,I-PRODUCT,False
1353,",",-X-,_,O,False
1354,i,-X-,_,O,False
1355,want,-X-,_,O,False
1356,to,-X-,_,O,False
1357,know,-X-,_,O,False
1358,a,-X-,_,O,False
1359,good,-X-,_,O,False
1360,fat,-X-,_,B-PRODUCT,False
1361,burner,-X-,_,I-PRODUCT,False
1362,to,-X-,_,O,False
1363,see,-X-,_,O,False
1364,good,-X-,_,O,False
1365,results,-X-,_,O,False
1366,.,-X-,_,O,False
1367,,,,,
1368,i,-X-,_,O,False
1369,want,-X-,_,O,False
1370,protein,-X-,_,B-PRODUCT,False
1371,without,-X-,_,O,False
1372,lacrosse,-X-,_,B-ATTRIBUTE,True
1373,,,,,
1374,i,-X-,_,O,False
1375,'m,-X-,_,O,False
1376,looking,-X-,_,O,False
1377,for,-X-,_,O,False
1378,they,-X-,_,B-PRODUCT,False
1379,protein,-X-,_,I-PRODUCT,False
1380,with,-X-,_,O,False
1381,not,-X-,_,O,False
1382,soy,-X-,_,B-ATTRIBUTE,True
1383,in,-X-,_,O,False
1384,it,-X-,_,O,False
1385,!,-X-,_,O,False
1386,,,,,
1387,hi,-X-,_,O,False
1388,",",-X-,_,O,False
1389,i,-X-,_,O,False
1390,am,-X-,_,O,False
1391,looking,-X-,_,O,False
1392,for,-X-,_,O,False
1393,a,-X-,_,O,False
1394,they,-X-,_,B-PRODUCT,False
1395,protein,-X-,_,I-PRODUCT,False
1396,with,-X-,_,O,False
1397,not,-X-,_,O,False
1398,soy,-X-,_,B-ATTRIBUTE,True
1399,",",-X-,_,O,False
1400,does,-X-,_,O,False
1401,it,-X-,_,O,False
1402,even,-X-,_,O,False
1403,exist,-X-,_,O,False
1404,?,-X-,_,O,False
1405,,,,,
1406,i,-X-,_,O,False
1407,'m,-X-,_,O,False
1408,looking,-X-,_,O,False
1409,for,-X-,_,O,False
1410,a,-X-,_,O,False
1411,supplement,-X-,_,B-PRODUCT,False
1412,to,-X-,_,O,False
1413,help,-X-,_,O,False
1414,me,-X-,_,O,False
1415,get,-X-,_,O,False
1416,back,-X-,_,O,False
1417,into,-X-,_,O,False
1418,ketosis,-X-,_,B-ATTRIBUTE,False
1419,",",-X-,_,O,False
1420,but,-X-,_,O,False
1421,not,-X-,_,O,False
1422,a,-X-,_,O,False
1423,pill,-X-,_,B-ATTRIBUTE,True
1424,.,-X-,_,O,False
1425,something,-X-,_,O,False
1426,i,-X-,_,O,False
1427,can,-X-,_,O,False
1428,mix,-X-,_,O,False
1429,in,-X-,_,O,False
1430,my,-X-,_,O,False
1431,water,-X-,_,O,False
1432,.,-X-,_,O,False
1433,,,,,
1434,looking,-X-,_,O,False
1435,for,-X-,_,O,False
1436,a,-X-,_,O,False
1437,testosterone,-X-,_,B-PRODUCT,False
1438,supplement,-X-,_,I-PRODUCT,False
1439,and,-X-,_,O,False
1440,i,-X-,_,O,False
1441,have,-X-,_,O,False
1442,no,-X-,_,O,False
1443,idea,-X-,_,O,False
1444,which,-X-,_,O,False
1445,one,-X-,_,O,False
1446,to,-X-,_,O,False
1447,buy,-X-,_,O,False
1448,,,,,
1449,hi,-X-,_,O,False
1450,",",-X-,_,O,False
1451,i,-X-,_,O,False
1452,would,-X-,_,O,False
1453,like,-X-,_,O,False
1454,to,-X-,_,O,False
1455,have,-X-,_,O,False
1456,a,-X-,_,O,False
1457,protein,-X-,_,B-PRODUCT,False
1458,powder,-X-,_,I-PRODUCT,False
1459,without,-X-,_,O,False
1460,caffeine,-X-,_,B-ATTRIBUTE,True
1461,,,,,
1462,i,-X-,_,O,False
1463,am,-X-,_,O,False
1464,looking,-X-,_,O,False
1465,for,-X-,_,O,False
1466,a,-X-,_,O,False
1467,very,-X-,_,O,False
1468,good,-X-,_,O,False
1469,fat,-X-,_,B-PRODUCT,False
1470,burner,-X-,_,I-PRODUCT,False
1471,that,-X-,_,O,False
1472,s,-X-,_,O,False
1473,not,-X-,_,O,False
1474,too,-X-,_,O,False
1475,heavy,-X-,_,B-ATTRIBUTE,True
1476,in,-X-,_,I-ATTRIBUTE,True
1477,stimulate,-X-,_,I-ATTRIBUTE,True
1478,.,-X-,_,O,False
1479,,,,,
1480,i,-X-,_,O,False
1481,saw,-X-,_,O,False
1482,a,-X-,_,O,False
1483,sweater,-X-,_,B-PRODUCT,False
1484,block,-X-,_,I-PRODUCT,False
1485,with,-X-,_,O,False
1486,multi,-X-,_,B-COLOUR,False
1487,colour,-X-,_,I-COLOUR,False
1488,yesterday,-X-,_,O,False
1489,.,-X-,_,O,False
1490,i,-X-,_,O,False
1491,wish,-X-,_,O,False
1492,to,-X-,_,O,False
1493,order,-X-,_,O,False
1494,and,-X-,_,O,False
1495,now,-X-,_,O,False
1496,ca,-X-,_,O,False
1497,n't,-X-,_,O,False
1498,find,-X-,_,O,False
1499,.,-X-,_,O,False
1500,..,-X-,_,O,False
1501,,,,,
1502,i,-X-,_,O,False
1503,'m,-X-,_,O,False
1504,looking,-X-,_,O,False
1505,for,-X-,_,O,False
1506,a,-X-,_,O,False
1507,polo,-X-,_,B-PRODUCT,False
1508,shirt,-X-,_,I-PRODUCT,False
1509,with,-X-,_,O,False
1510,no,-X-,_,O,False
1511,logo,-X-,_,B-ATTRIBUTE,True
1512,on,-X-,_,O,False
1513,it,-X-,_,O,False
1514,.,-X-,_,O,False
1515,,,,,
1516,hi,-X-,_,O,False
1517,looking,-X-,_,O,False
1518,for,-X-,_,O,False
1519,the,-X-,_,O,False
1520,torque,-X-,_,B-PRODUCT,False
1521,and,-X-,_,O,False
1522,neck,-X-,_,B-PRODUCT,False
1523,tube,-X-,_,I-PRODUCT,False
1524,displayed,-X-,_,O,False
1525,in,-X-,_,O,False
1526,the,-X-,_,O,False
1527,woman,-X-,_,B-ATTRIBUTE,False
1528,'s,-X-,_,I-ATTRIBUTE,False
1529,ski,-X-,_,B-PRODUCT,False
1530,jacket,-X-,_,I-PRODUCT,False
1531,the,-X-,_,O,False
1532,jacket,-X-,_,B-PRODUCT,False
1533,color,-X-,_,O,False
1534,that,-X-,_,O,False
1535,is,-X-,_,O,False
1536,light,-X-,_,B-COLOUR,False
1537,blue,-X-,_,I-COLOUR,False
1538,and,-X-,_,O,False
1539,green,-X-,_,B-COLOUR,False
1540,",",-X-,_,O,False
1541,the,-X-,_,O,False
1542,tique,-X-,_,B-PRODUCT,False
1543,and,-X-,_,O,False
1544,neck,-X-,_,B-PRODUCT,False
1545,tube,-X-,_,I-PRODUCT,False
1546,is,-X-,_,O,False
1547,a,-X-,_,O,False
1548,dusty,-X-,_,B-COLOUR,False
1549,pink,-X-,_,I-COLOUR,False
1550,sort,-X-,_,O,False
1551,of,-X-,_,O,False
1552,color,-X-,_,O,False
1553,",",-X-,_,O,False
1554,i,-X-,_,O,False
1555,ca,-X-,_,O,False
1556,n't,-X-,_,O,False
1557,find,-X-,_,O,False
1558,it,-X-,_,O,False
1559,anywhere,-X-,_,O,False
1560,on,-X-,_,O,False
1561,sight,-X-,_,O,False
1562,i,-X-,_,O,False
1563,see,-X-,_,O,False
1564,similar,-X-,_,O,False
1565,items,-X-,_,O,False
1566,but,-X-,_,O,False
1567,want,-X-,_,O,False
1568,a,-X-,_,O,False
1569,matching,-X-,_,O,False
1570,set,-X-,_,O,False
1571,,,,,
1572,i,-X-,_,O,False
1573,am,-X-,_,O,False
1574,looking,-X-,_,O,False
1575,for,-X-,_,O,False
1576,a,-X-,_,O,False
1577,bomber,-X-,_,B-ATTRIBUTE,False
1578,style,-X-,_,I-ATTRIBUTE,False
1579,jacket,-X-,_,B-PRODUCT,False
1580,2,-X-,_,B-SIZE,False
1581,x,-X-,_,I-SIZE,False
1582,no,-X-,_,O,False
1583,hood,-X-,_,B-ATTRIBUTE,True
1584,",",-X-,_,O,False
1585,and,-X-,_,O,False
1586,black,-X-,_,B-COLOUR,False
1587,,,,,
1588,women,-X-,_,B-ATTRIBUTE,False
1589,'s,-X-,_,I-ATTRIBUTE,False
1590,panama,-X-,_,B-PRODUCT,False
1591,pants,-X-,_,I-PRODUCT,False
1592,without,-X-,_,O,False
1593,waistband,-X-,_,B-ATTRIBUTE,True
1594,,,,,
1595,good,-X-,_,O,False
1596,morning,-X-,_,O,False
1597,i,-X-,_,O,False
1598,am,-X-,_,O,False
1599,looking,-X-,_,O,False
1600,for,-X-,_,O,False
1601,a,-X-,_,O,False
1602,suffer,-X-,_,B-PRODUCT,False
1603,vest,-X-,_,I-PRODUCT,False
1604,three,-X-,_,B-SIZE,False
1605,-,-X-,_,B-SIZE,False
1606,quarter,-X-,_,B-SIZE,False
1607,length,-X-,_,I-SIZE,False
1608,i,-X-,_,O,False
1609,'ve,-X-,_,O,False
1610,seen,-X-,_,O,False
1611,them,-X-,_,O,False
1612,on,-X-,_,O,False
1613,the,-X-,_,O,False
1614,website,-X-,_,O,False
1615,but,-X-,_,O,False
1616,no,-X-,_,O,False
1617,longer,-X-,_,O,False
1618,there,-X-,_,O,False
1619,,,,,
1620,good,-X-,_,O,False
1621,morning,-X-,_,O,False
1622,",",-X-,_,O,False
1623,i,-X-,_,O,False
1624,would,-X-,_,O,False
1625,like,-X-,_,O,False
1626,to,-X-,_,O,False
1627,buy,-X-,_,O,False
1628,the,-X-,_,O,False
1629,product,-X-,_,B-PRODUCT,False
1630,below,-X-,_,O,False
1631,",",-X-,_,O,False
1632,size,-X-,_,B-SIZE,False
1633,m,-X-,_,I-SIZE,False
1634,:,-X-,_,I-SIZE,False
1635,how,-X-,_,O,False
1636,can,-X-,_,O,False
1637,i,-X-,_,O,False
1638,proceed,-X-,_,O,False
1639,with,-X-,_,O,False
1640,this,-X-,_,O,False
1641,purchase,-X-,_,O,False
