Sentence,Tags
"I don't want double sink, I want a rectangle sink","O,O,O,B-N-ATTRIBUTE,B-N-PRODUCT,O,O,O,B-SHAPE,B-PRODUCT"
"Looking for a 30 inch bathroom vanity not 55""","O,O,O,B-SIZE,I-SIZE,B-PRODUCT,I-PRODUCT,O,B-N-SIZE"
I am looking for a 30 inch bathroom shelf not wall mounted,"O,O,O,O,O,B-SIZE,I-SIZE,B-PRODUCT,I-PRODUCT,O,B-N-ATTRIBUTE,I-N-ATTRIBUTE"
Wall mount rectangular sink without a faucet hole,"B-ATTRIBUTE,I-ATTRIBUTE,B-SHAPE,B-PRODUCT,O,O,B-N-ATTRIBUTE,I-N-ATTRIBUTE"
Grey toilet not toilet brush,"B-COLOUR,B-PRODUCT,O,B-N-PRODUCT,I-N-PRODUCT"
Good morning. We are looking for chrome shower head with high pressure - simple no bells and whistles just good pressure,"O,O,O,O,O,O,B-MATERIAL,B-PRODUCT,I-PRODUCT,O,B-ATTRIBUTE,I-ATTRIBUTE,O,O,O,O,O,O,O,B-ATTRIBUTE,I-ATTRIBUTE"
"can you help me find a pharmacy without a mirror 18-20"" wide?","O,O,O,O,O,O,B-PRODUCT,O,O,B-N-ATTRIBUTE,B-SIZE,I-SIZE"
"Looking for a double sink in black that is no more than 23"" wide. Does this exist?","O,O,O,B-PRODUCT,I-PRODUCT,O,B-COLOUR,O,O,O,O,O,B-SIZE,I-SIZE,O,O,O"
I am looking for a toilet seat without undermounted hinges for a one piece toilet,"O,O,O,O,O,B-PRODUCT,I-PRODUCT,O,B-N-ATTRIBUTE,I-N-ATTRIBUTE,O,O,B-ATTRIBUTE,I-ATTRIBUTE,I-ATTRIBUTE"
Do you have mirror medicine cabinet without led,"O,O,O,B-PRODUCT,I-PRODUCT,I-PRODUCT,O,B-N-ATTRIBUTE"
Do you have shower panels that aren't see through? Like frosted glass,"O,O,O,B-PRODUCT,I-PRODUCT,O,O,B-N-ATTRIBUTE,I-N-ATTRIBUTE,O,B-MATERIAL,I-MATERIAL"
I don't need a vanity just the quartz top with built in sink,"O,O,O,O,B-N-PRODUCT,O,O,B-MATERIAL,B-PRODUCT,O,B-ATTRIBUTE,I-ATTRIBUTE,I-ATTRIBUTE"
"Hi, I was looking a free standing tub yesterday for $650 , it was on for 50% off. I don't see it now, is it still on sale ?","O,O,O,O,O,B-ATTRIBUTE,I-ATTRIBUTE,B-PRODUCT,O,O,B-PRICE,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
Looking for a large free standing tub... not acrylic or fiberglass,"O,O,O,B-SIZE,B-ATTRIBUTE,I-ATTRIBUTE,B-PRODUCT,O,B-N-MATERIAL,O,B-N-MATERIAL"
i don't want a complete vanity just the top,"O,O,O,O,O,B-N-PRODUCT,O,O,B-PRODUCT"
"Hi .. never been to your store ,looking for vinyl wardrobes do not know if you carry those .. thanks","O,O,O,O,O,O,O,O,O,B-MATERIAL,B-PRODUCT,O,O,O,O,O,O,O,O,O"
Thank you very much I'm looking for a shower stall kit that is not priced to high it's for a basement,"O,O,O,O,O,O,O,O,B-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,B-N-PRICE,I-N-PRICE,I-N-PRICE,O,O,O,O"
t-shirt without logo,"B-PRODUCT,O,B-N-ATTRIBUTE"
Shower door no side panels,"B-PRODUCT,I-PRODUCT,O,B-N-ATTRIBUTE,I-N-ATTRIBUTE"
I am looking for a heated air and water jetted tub.,"O,O,O,O,O,B-ATTRIBUTE,I-ATTRIBUTE,O,B-ATTRIBUTE,I-ATTRIBUTE,B-PRODUCT"
bathub with jets,"B-PRODUCT,O,B-ATTRIBUTE"
"Hello, what is the biggest blade on a shower squeegee that you carry??","O,O,O,O,B-SIZE,B-ATTRIBUTE,O,O,B-PRODUCT,I-PRODUCT,O,O,O"
looking for a bathtub left hand drain but square not oval,"O,O,O,B-PRODUCT,B-ATTRIBUTE,I-ATTRIBUTE,I-ATTRIBUTE,O,B-SHAPE,O,B-N-SHAPE"
Do you sell a tub shower faucet set that does not have the anti scald feature?,"O,O,O,O,B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,B-N-ATTRIBUTE,I-N-ATTRIBUTE,I-N-ATTRIBUTE"
What rectangular shower units are available?,"O,B-SHAPE,B-PRODUCT,I-PRODUCT,O,O"
I am looking for a 35 inch bathroom sink countertop with sink,"O,O,O,O,O,B-SIZE,I-SIZE,B-PRODUCT,I-PRODUCT,I-PRODUCT,O,B-ATTRIBUTE"
I'm looking f or a Black Matte bathtub double sliding door,"O,O,O,O,O,B-COLOUR,B-TEXTURE,B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT"
Need a 27 inch frameless shower door,"O,O,B-SIZE,I-SIZE,B-N-ATTRIBUTE,B-PRODUCT,I-PRODUCT"
Looking for 30 inch white desk set,"O,O,B-SIZE,I-SIZE,B-COLOUR,B-PRODUCT,I-PRODUCT"
