Token,Actual Tag,Predicted Tag
beige,I-COLOUR,I-COLOUR
toilets,I-PRODUCT,O
.,O,O
bone,I-N-COLOUR,I-COLOUR
and,O,O
biscuit,I-N-COLOUR,I-COLOUR
are,O,O
too,O,O
light,O,O
in,O,O
colour,O,O
we,O,O
're,O,O
looking,O,O
for,O,O
a,O,O
shower,I-PRODUCT,I-PRODUCT
door,I-PRODUCT,I-PRODUCT
set,I-PRODUCT,I-PRODUCT
greater,O,O
than,O,O
70,I-SIZE,I-SIZE
inches,I-SIZE,I-SIZE
wide,I-SIZE,I-SIZE
18,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
deep,I-SIZE,I-SIZE
by,O,O
36,I-SIZE,I-SIZE
inches,I-SIZE,I-SIZE
long,I-SIZE,I-SIZE
brown,I-COLOUR,I-COLOUR
freestanding,I-ATTRIBUTE,I-ATTRIBUTE
vanity,I-PRODUCT,I-PRODUCT
looking,O,O
for,O,O
a,O,O
36,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
vanity,I-PRODUCT,I-PRODUCT
with,O,O
granite,I-MATERIAL,I-MATERIAL
top,I-ATTRIBUTE,I-ATTRIBUTE
i,O,O
am,O,O
looking,O,O
for,O,O
bathroom,I-PRODUCT,I-PRODUCT
mirrors,I-PRODUCT,I-PRODUCT
black,I-COLOUR,I-COLOUR
framed,I-ATTRIBUTE,I-ATTRIBUTE
in,O,O
rectangular,I-SHAPE,I-SHAPE
and,O,O
oval,I-SHAPE,I-SHAPE
looking,O,O
at,O,O
36,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
medicine,I-PRODUCT,I-PRODUCT
cabinet,I-PRODUCT,I-PRODUCT
for,O,O
$,I-PRICE,I-PRICE
399,I-PRICE,I-PRICE
.,O,O
is,O,O
it,O,O
recessed,O,O
able,O,O
to,O,O
fit,O,O
into,O,O
wall,O,I-ATTRIBUTE
as,O,O
a,O,O
flush,O,O
mount,O,O
?,O,O
vessel,I-PRODUCT,I-PRODUCT
bag,I-PRODUCT,I-PRODUCT
in,O,O
goldfish,I-COLOUR,I-COLOUR
color,O,O
looking,O,O
for,O,O
protein,I-PRODUCT,I-PRODUCT
powder,I-PRODUCT,I-PRODUCT
no,O,O
car,I-N-ATTRIBUTE,I-N-ATTRIBUTE
no,O,O
super,I-N-ATTRIBUTE,I-N-ATTRIBUTE
i,O,O
am,O,O
brand,O,O
new,O,O
to,O,O
fat,I-PRODUCT,O
burner,I-PRODUCT,I-PRODUCT
",",O,O
i,O,O
want,O,O
to,O,O
know,O,O
a,O,O
good,O,O
fat,I-PRODUCT,O
burner,I-PRODUCT,O
to,O,O
see,O,O
good,O,O
results,O,O
.,O,O
i,O,O
want,O,O
protein,I-PRODUCT,I-PRODUCT
without,O,O
lacrosse,I-N-ATTRIBUTE,I-N-ATTRIBUTE
i,O,O
'm,O,O
looking,O,O
for,O,O
they,I-PRODUCT,I-PRODUCT
protein,I-PRODUCT,I-PRODUCT
with,O,O
not,O,O
soy,I-N-ATTRIBUTE,I-N-ATTRIBUTE
in,O,O
it,O,O
!,O,O
hi,O,O
",",O,O
i,O,O
am,O,O
looking,O,O
for,O,O
a,O,O
they,I-PRODUCT,I-PRODUCT
protein,I-PRODUCT,I-PRODUCT
with,O,O
not,O,O
soy,I-N-ATTRIBUTE,I-N-ATTRIBUTE
",",O,O
does,O,O
it,O,O
even,O,O
exist,O,O
?,O,O
i,O,O
'm,O,O
looking,O,O
for,O,O
a,O,O
supplement,I-PRODUCT,I-PRODUCT
to,O,O
help,O,O
me,O,O
get,O,O
back,O,O
into,O,O
ketosis,I-ATTRIBUTE,I-ATTRIBUTE
",",O,O
but,O,O
not,O,O
a,O,O
pill,I-N-ATTRIBUTE,O
.,O,O
something,O,O
i,O,O
can,O,O
mix,O,O
in,O,O
my,O,O
water,O,O
.,O,O
looking,O,O
for,O,O
a,O,O
testosterone,I-PRODUCT,I-PRODUCT
supplement,I-PRODUCT,I-PRODUCT
and,O,O
i,O,O
have,O,O
no,O,O
idea,O,O
which,O,O
one,O,O
to,O,O
buy,O,O
hi,O,O
",",O,O
i,O,O
would,O,O
like,O,O
to,O,O
have,O,O
a,O,O
protein,I-PRODUCT,I-PRODUCT
powder,I-PRODUCT,I-PRODUCT
without,O,O
caffeine,I-N-ATTRIBUTE,I-N-ATTRIBUTE
i,O,O
am,O,O
looking,O,O
for,O,O
a,O,O
very,O,O
good,O,O
fat,I-PRODUCT,I-PRODUCT
burner,I-PRODUCT,I-PRODUCT
that,O,O
s,O,O
not,O,O
too,O,O
heavy,I-N-ATTRIBUTE,O
in,I-N-ATTRIBUTE,O
stimulate,I-N-ATTRIBUTE,O
.,O,O
i,O,O
saw,O,O
a,O,O
sweater,I-PRODUCT,I-PRODUCT
block,I-PRODUCT,I-PRODUCT
with,O,O
multi,I-COLOUR,I-COLOUR
colour,I-COLOUR,I-COLOUR
yesterday,O,O
.,O,O
i,O,O
wish,O,O
to,O,O
order,O,O
and,O,O
now,O,O
ca,O,O
n't,O,O
find,O,O
.,O,O
..,O,O
i,O,O
'm,O,O
looking,O,O
for,O,O
a,O,O
polo,I-PRODUCT,I-PRODUCT
shirt,I-PRODUCT,I-PRODUCT
with,O,O
no,O,O
logo,I-N-ATTRIBUTE,I-N-ATTRIBUTE
on,O,O
it,O,O
.,O,O
hi,O,O
looking,O,O
for,O,O
the,O,O
torque,I-PRODUCT,I-PRODUCT
and,O,O
neck,I-PRODUCT,I-ATTRIBUTE
tube,I-PRODUCT,I-ATTRIBUTE
displayed,O,I-ATTRIBUTE
in,O,O
the,O,O
woman,I-ATTRIBUTE,O
's,I-ATTRIBUTE,O
ski,I-PRODUCT,O
jacket,I-PRODUCT,O
the,O,O
jacket,I-PRODUCT,I-PRODUCT
color,O,I-PRODUCT
that,O,O
is,O,O
light,I-COLOUR,I-COLOUR
blue,I-COLOUR,I-COLOUR
and,O,O
green,I-COLOUR,I-COLOUR
",",O,O
the,O,O
tique,I-PRODUCT,O
and,O,O
neck,I-PRODUCT,O
tube,I-PRODUCT,O
is,O,O
a,O,O
dusty,I-COLOUR,O
pink,I-COLOUR,I-COLOUR
sort,O,O
of,O,O
color,O,O
",",O,O
i,O,O
ca,O,O
n't,O,O
find,O,O
it,O,O
anywhere,O,O
on,O,O
sight,O,O
i,O,O
see,O,O
similar,O,O
items,O,O
but,O,O
want,O,O
a,O,O
matching,O,O
set,O,O
i,O,O
am,O,O
looking,O,O
for,O,O
a,O,O
bomber,I-ATTRIBUTE,I-PRODUCT
style,I-ATTRIBUTE,I-PRODUCT
jacket,I-PRODUCT,I-PRODUCT
2,I-SIZE,I-SIZE
x,I-SIZE,O
no,O,O
hood,I-N-ATTRIBUTE,O
",",O,O
and,O,O
black,I-COLOUR,I-N-COLOUR
women,I-ATTRIBUTE,O
's,I-ATTRIBUTE,O
panama,I-PRODUCT,I-PRODUCT
pants,I-PRODUCT,I-PRODUCT
without,O,O
waistband,I-N-ATTRIBUTE,I-N-ATTRIBUTE
good,O,O
morning,O,O
i,O,O
am,O,O
looking,O,O
for,O,O
a,O,O
suffer,I-PRODUCT,I-PRODUCT
vest,I-PRODUCT,I-PRODUCT
three,I-SIZE,O
-,I-SIZE,O
quarter,I-SIZE,O
length,I-SIZE,O
i,O,O
've,O,O
seen,O,O
them,O,O
on,O,O
the,O,O
website,O,O
but,O,O
no,O,O
longer,O,O
there,O,O
good,O,O
morning,O,O
",",O,O
i,O,O
would,O,O
like,O,O
to,O,O
buy,O,O
the,O,O
product,I-PRODUCT,I-PRODUCT
below,O,O
",",O,O
size,I-SIZE,O
m,I-SIZE,O
:,I-SIZE,O
how,O,O
can,O,O
i,O,O
proceed,O,O
with,O,O
this,O,O
purchase,O,O
?,O,O
it,O,O
does,O,O
n't,O,O
seem,O,O
to,O,O
be,O,O
available,O,O
at,O,O
the,O,O
moment,O,O
want,O,O
to,O,O
order,O,O
women,I-ATTRIBUTE,O
's,I-ATTRIBUTE,O
warm,I-ATTRIBUTE,I-ATTRIBUTE
waterproof,I-ATTRIBUTE,I-ATTRIBUTE
snow,I-PRODUCT,I-COLOUR
boots,I-PRODUCT,I-PRODUCT
in,O,O
size,I-SIZE,I-SIZE
8,I-SIZE,I-SIZE
.,O,O
does,O,O
n't,O,O
say,O,O
out,O,O
of,O,O
stock,O,O
but,O,O
ca,O,O
n't,O,O
put,O,O
order,O,O
in,O,O
.,O,O
please,O,O
advise,O,O
.,O,O
hi,O,O
",",O,O
i,O,O
'm,O,O
interested,O,O
in,O,O
the,O,O
women,I-ATTRIBUTE,O
's,I-ATTRIBUTE,O
waterproof,I-ATTRIBUTE,I-ATTRIBUTE
mountain,I-PRODUCT,I-PRODUCT
walking,I-PRODUCT,I-PRODUCT
jacket,I-PRODUCT,I-PRODUCT
in,O,O
green,I-COLOUR,I-COLOUR
but,O,O
the,O,O
website,O,O
only,O,O
gives,O,O
the,O,O
option,O,O
for,O,O
size,I-N-SIZE,O
x,I-N-SIZE,O
and,O,O
does,O,O
not,O,O
allow,O,O
to,O,O
request,O,O
a,O,O
notification,O,I-N-ATTRIBUTE
hi,O,O
i,O,O
'm,O,O
looking,O,O
to,O,O
buy,O,O
this,O,O
but,O,O
i,O,O
can,O,O
not,O,O
find,O,O
an,O,O
22,I-SIZE,I-N-SIZE
mm,I-SIZE,I-N-SIZE
nozzle,I-PRODUCT,I-N-PRODUCT
pump,I-PRODUCT,I-N-PRODUCT
anywhere,O,O
",",O,O
do,O,O
you,O,O
have,O,O
one,O,O
on,O,O
your,O,O
site,O,O
or,O,O
know,O,O
where,O,O
i,O,O
can,O,O
get,O,O
one,O,O
?,O,O
thanks,O,O
pool,I-PRODUCT,I-PRODUCT
cue,I-PRODUCT,I-PRODUCT
cases,I-PRODUCT,I-PRODUCT
not,O,O
pool,I-N-PRODUCT,I-N-PRODUCT
cues,I-N-PRODUCT,I-N-PRODUCT
looking,O,O
to,O,O
buy,O,O
hiking,I-PRODUCT,I-PRODUCT
trousers,I-PRODUCT,I-PRODUCT
but,O,O
do,O,O
n't,O,O
understand,O,O
sizes,O,O
.,O,O
i,O,O
am,O,O
38,I-SIZE,I-SIZE
in,I-SIZE,I-SIZE
waist,I-SIZE,I-SIZE
and,O,O
29,I-SIZE,I-SIZE
in,I-SIZE,I-SIZE
leg,I-SIZE,I-SIZE
.,O,O
looking,O,O
to,O,O
buy,O,O
trekking,I-PRODUCT,I-PRODUCT
trousers,I-PRODUCT,I-PRODUCT
what,O,O
size,O,O
do,O,O
i,O,O
need,O,O
is,O,O
it,O,O
possible,O,O
to,O,O
order,O,O
a,O,O
bathroom,I-PRODUCT,I-PRODUCT
vanity,I-PRODUCT,I-PRODUCT
without,O,O
the,O,O
countertop,I-N-ATTRIBUTE,I-N-ATTRIBUTE
?,O,O
i,O,O
'm,O,O
looking,O,O
for,O,O
a,O,O
shower,I-PRODUCT,I-PRODUCT
unit,I-PRODUCT,I-PRODUCT
including,O,O
walls,I-ATTRIBUTE,I-ATTRIBUTE
bae,I-ATTRIBUTE,I-ATTRIBUTE
and,O,O
glass,I-MATERIAL,I-MATERIAL
enclosure,O,O
but,O,O
the,O,O
whole,O,O
unit,O,O
can,O,O
not,O,O
be,O,O
higher,I-SIZE,I-N-SIZE
than,O,O
75,I-N-SIZE,I-N-SIZE
inches,I-N-SIZE,I-N-SIZE
hi,O,O
i,O,O
need,O,O
a,O,O
10,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
rough,O,O
in,O,O
toilet,I-PRODUCT,I-PRODUCT
asap,O,O
",",O,O
i,O,O
'm,O,O
not,O,O
sure,O,O
if,O,O
you,O,O
have,O,O
it,O,O
in,O,O
stock,O,O
.,O,O
i,O,O
do,O,O
n't,O,O
want,O,O
the,O,O
screw,I-N-ATTRIBUTE,O
less,I-ATTRIBUTE,O
can,O,O
the,O,O
shower,I-PRODUCT,I-PRODUCT
be,O,O
sold,O,O
without,O,O
the,O,O
walls,I-N-ATTRIBUTE,I-N-ATTRIBUTE
?,O,O
you,O,O
do,O,O
n't,O,O
sell,O,O
any,O,O
72,I-SIZE,I-N-SIZE
'',I-SIZE,I-N-SIZE
wide,I-SIZE,I-N-SIZE
varieties,I-PRODUCT,O
?,O,O
looking,O,O
for,O,O
shower,I-PRODUCT,I-PRODUCT
system,I-PRODUCT,I-PRODUCT
with,O,O
tub,I-ATTRIBUTE,I-PRODUCT
facet,I-ATTRIBUTE,I-PRODUCT
although,O,O
no,O,O
tub,I-N-PRODUCT,I-N-PRODUCT
looking,O,O
for,O,O
a,O,O
bathroom,I-PRODUCT,I-PRODUCT
vanity,I-PRODUCT,I-PRODUCT
&,O,I-PRODUCT
sink,I-PRODUCT,I-PRODUCT
no,O,O
more,O,O
than,O,O
16,I-N-SIZE,I-N-SIZE
'',I-N-SIZE,I-N-SIZE
deep,I-N-SIZE,I-N-SIZE
looking,O,O
for,O,O
48,I-SIZE,I-SIZE
inches,I-SIZE,I-SIZE
floor,I-PRODUCT,I-PRODUCT
cabinet,I-PRODUCT,I-PRODUCT
single,I-PRODUCT,I-PRODUCT
sink,I-PRODUCT,I-PRODUCT
",",O,O
but,O,O
no,O,O
counter,I-N-ATTRIBUTE,I-N-ATTRIBUTE
top,I-N-ATTRIBUTE,I-N-ATTRIBUTE
can,O,O
i,O,O
purchase,O,O
shower,I-PRODUCT,I-PRODUCT
doors,I-PRODUCT,I-PRODUCT
and,O,O
not,O,O
the,O,O
entire,I-N-PRODUCT,I-N-PRODUCT
shower,I-N-PRODUCT,I-N-PRODUCT
kit,I-N-PRODUCT,I-N-PRODUCT
?,O,O
medicine,I-PRODUCT,I-PRODUCT
cabinets,I-PRODUCT,I-PRODUCT
with,O,O
no,O,O
mirror,I-N-ATTRIBUTE,I-N-ATTRIBUTE
i,O,O
'm,O,O
looking,O,O
for,O,O
a,O,O
55,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
vanity,I-PRODUCT,I-PRODUCT
top,I-PRODUCT,I-PRODUCT
",",O,O
which,O,O
is,O,O
not,O,O
a,O,O
regular,I-N-SIZE,I-N-SIZE
size,I-N-SIZE,I-N-SIZE
.,O,O
is,O,O
there,O,O
a,O,O
way,O,O
to,O,O
have,O,O
this,O,O
size,O,O
?,O,O
i,O,O
need,O,O
a,O,O
42,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
kitchen,I-PRODUCT,I-PRODUCT
island,I-PRODUCT,I-PRODUCT
.,O,O
do,O,O
you,O,O
have,O,O
any,O,O
?,O,O
i,O,O
ca,O,O
n't,O,O
find,O,O
them,O,O
on,O,O
the,O,O
website,O,O
.,O,O
i,O,O
am,O,O
looking,O,O
for,O,O
a,O,O
black,I-COLOUR,I-COLOUR
glass,I-MATERIAL,I-MATERIAL
shower,I-PRODUCT,I-PRODUCT
tile,I-PRODUCT,I-PRODUCT
.,O,O
it,O,O
does,O,O
not,O,O
need,O,O
to,O,O
be,O,O
a,O,O
solid,I-N-COLOUR,I-N-COLOUR
black,I-N-COLOUR,I-N-COLOUR
",",O,O
can,O,O
have,O,O
accents,O,O
of,O,O
clear,I-COLOUR,O
or,O,O
silver,I-COLOUR,I-COLOUR
glass,I-COLOUR,I-COLOUR
tones,I-COLOUR,O
medicine,I-PRODUCT,I-PRODUCT
cabinet,I-PRODUCT,I-PRODUCT
with,O,O
mirror,I-ATTRIBUTE,I-ATTRIBUTE
and,O,O
no,O,O
lights,I-N-ATTRIBUTE,I-N-ATTRIBUTE
we,O,O
are,O,O
looking,O,O
for,O,O
a,O,O
72,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
soaked,I-PRODUCT,I-ATTRIBUTE
tub,I-PRODUCT,I-PRODUCT
",",O,O
no,O,O
jets,I-N-ATTRIBUTE,O
.,O,O
can,O,O
i,O,O
order,O,O
just,O,O
the,O,O
top,I-PRODUCT,I-PRODUCT
and,O,O
not,O,O
the,O,O
cabinet,I-N-PRODUCT,I-N-PRODUCT
?,O,O
barbecue,I-PRODUCT,I-PRODUCT
without,O,O
charcoal,I-N-ATTRIBUTE,I-N-COLOUR
hi,O,O
there,O,O
",",O,O
i,O,O
'm,O,O
interested,O,O
in,O,O
a,O,O
vanity,I-PRODUCT,I-PRODUCT
.,O,O
am,O,O
i,O,O
able,O,O
to,O,O
purchase,O,O
without,O,O
the,O,O
sink,I-N-ATTRIBUTE,I-N-ATTRIBUTE
top,I-N-ATTRIBUTE,I-N-ATTRIBUTE
?,O,O
can,O,O
i,O,O
order,O,O
this,O,O
vessel,I-PRODUCT,I-PRODUCT
sink,I-PRODUCT,I-PRODUCT
without,O,O
the,O,O
attached,I-N-ATTRIBUTE,I-N-ATTRIBUTE
facet,I-N-ATTRIBUTE,I-N-ATTRIBUTE
?,O,O
i,O,O
'm,O,O
looking,O,O
for,O,O
a,O,O
30,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
cabinet,I-PRODUCT,I-PRODUCT
with,O,O
no,O,O
top,I-N-ATTRIBUTE,I-N-ATTRIBUTE
looking,O,O
for,O,O
vanity,I-PRODUCT,I-PRODUCT
but,O,I-PRODUCT
sink,I-N-ATTRIBUTE,I-PRODUCT
must,I-N-ATTRIBUTE,O
have,I-N-ATTRIBUTE,O
no,I-N-ATTRIBUTE,O
holes,I-N-ATTRIBUTE,O
.,O,O
face,I-ATTRIBUTE,O
in,I-ATTRIBUTE,O
on,I-ATTRIBUTE,O
wall,I-ATTRIBUTE,O
already,O,O
hi,O,O
.,O,O
i,O,O
'm,O,O
looking,O,O
for,O,O
36,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
vanity,I-PRODUCT,I-PRODUCT
wall,I-ATTRIBUTE,I-ATTRIBUTE
mounted,I-ATTRIBUTE,I-ATTRIBUTE
black,I-COLOUR,I-COLOUR
or,O,O
white,I-COLOUR,I-COLOUR
.,O,O
with,O,O
towel,I-ATTRIBUTE,I-ATTRIBUTE
storage,I-ATTRIBUTE,I-ATTRIBUTE
but,O,O
no,O,O
since,I-N-ATTRIBUTE,O
i,O,O
want,O,O
just,O,O
this,O,O
cabinet,I-PRODUCT,I-PRODUCT
without,O,O
the,O,O
top,I-N-ATTRIBUTE,I-N-ATTRIBUTE
as,O,O
i,O,O
want,O,O
top,I-PRODUCT,I-PRODUCT
mounted,I-PRODUCT,I-PRODUCT
basins,I-PRODUCT,I-PRODUCT
on,O,O
a,O,O
surface,O,O
matching,O,O
my,O,O
kitchen,O,O
looking,O,O
for,O,O
a,O,O
pivot,I-PRODUCT,I-PRODUCT
shower,I-PRODUCT,I-PRODUCT
door,I-PRODUCT,I-PRODUCT
in,O,O
black,I-COLOUR,I-COLOUR
to,O,O
fit,O,O
a,O,O
33,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
opening,O,O
preferably,O,O
but,O,O
not,O,O
necessarily,O,O
.,O,O
bathtub,I-PRODUCT,I-PRODUCT
without,O,O
facet,I-N-ATTRIBUTE,I-N-ATTRIBUTE
?,O,I-N-ATTRIBUTE
can,O,O
you,O,O
order,O,O
the,O,O
59,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
bathtub,I-PRODUCT,I-PRODUCT
without,O,O
the,O,O
facet,I-N-ATTRIBUTE,I-N-ATTRIBUTE
?,O,O
i,O,O
want,O,O
grey,I-COLOUR,I-PRODUCT
toilet,I-PRODUCT,I-PRODUCT
not,O,O
assessceries,I-N-PRODUCT,O
i,O,O
can,O,O
not,O,O
seem,O,O
to,O,O
sort,O,O
by,O,O
colour,O,O
.,O,O
i,O,O
am,O,O
looking,O,O
for,O,O
a,O,O
cream,I-COLOUR,I-COLOUR
38,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
corner,I-PRODUCT,I-PRODUCT
shower,I-PRODUCT,I-PRODUCT
stall,I-PRODUCT,I-PRODUCT
do,O,O
you,O,O
have,O,O
60,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
kitchen,I-PRODUCT,I-PRODUCT
island,I-PRODUCT,I-PRODUCT
with,O,O
quartz,I-MATERIAL,I-ATTRIBUTE
top,I-ATTRIBUTE,I-PRODUCT
with,O,O
no,O,O
settings,I-N-ATTRIBUTE,I-N-ATTRIBUTE
frameless,I-ATTRIBUTE,I-ATTRIBUTE
leveled,I-ATTRIBUTE,I-ATTRIBUTE
mirror,I-PRODUCT,I-PRODUCT
no,O,O
more,O,O
than,O,O
29,I-SIZE,I-N-SIZE
'',I-SIZE,I-N-SIZE
bath,I-PRODUCT,O
tub,I-PRODUCT,I-PRODUCT
without,O,O
texture,I-N-TEXTURE,O
looking,O,O
for,O,O
a,O,O
bathroom,I-PRODUCT,I-PRODUCT
cabinet,I-PRODUCT,I-PRODUCT
without,O,O
top,I-N-ATTRIBUTE,I-N-ATTRIBUTE
60,I-SIZE,I-SIZE
inches,I-SIZE,I-SIZE
looking,O,O
for,O,O
a,O,O
medicine,I-PRODUCT,I-PRODUCT
cabinet,I-PRODUCT,I-PRODUCT
with,O,O
mirror,I-ATTRIBUTE,I-ATTRIBUTE
front,O,I-ATTRIBUTE
not,O,O
recessed,O,O
that,O,O
would,O,O
fit,O,O
50,I-SIZE,I-N-SIZE
inch,I-SIZE,I-N-SIZE
wide,I-SIZE,I-N-SIZE
39,I-SIZE,I-N-SIZE
inch,I-SIZE,I-N-SIZE
tall,I-SIZE,I-N-SIZE
the,O,O
best,O,O
i,O,O
need,O,O
a,O,O
60,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
vanity,I-PRODUCT,I-PRODUCT
with,O,O
a,O,O
sink,I-ATTRIBUTE,I-PRODUCT
that,O,O
's,O,O
offset,I-ATTRIBUTE,I-ATTRIBUTE
to,I-ATTRIBUTE,O
the,I-ATTRIBUTE,O
right,I-ATTRIBUTE,O
-,O,O
not,O,O
centred,I-N-ATTRIBUTE,O
i,O,O
am,O,O
looking,O,O
for,O,O
a,O,O
37,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
bathroom,I-PRODUCT,I-PRODUCT
cabinet,I-PRODUCT,I-PRODUCT
without,O,O
a,O,O
top,I-N-ATTRIBUTE,I-N-ATTRIBUTE
or,O,O
sink,I-N-ATTRIBUTE,O
because,O,O
i,O,O
have,O,O
one,O,O
.,O,O
do,O,O
you,O,O
have,O,O
anything,O,O
in,O,O
stock,O,O
?,O,O
i,O,O
'm,O,O
looking,O,O
for,O,O
a,O,O
mirror,I-PRODUCT,I-PRODUCT
without,O,O
a,O,O
from,I-N-ATTRIBUTE,O
40,I-SIZE,I-N-SIZE
inches,I-SIZE,I-N-SIZE
x,O,I-N-SIZE
60,I-SIZE,I-N-SIZE
inches,I-SIZE,I-N-SIZE
i,O,O
am,O,O
looking,O,O
for,O,O
a,O,O
kitchen,I-PRODUCT,I-PRODUCT
facet,I-PRODUCT,I-PRODUCT
in,O,O
stainless,I-MATERIAL,I-MATERIAL
steel,I-MATERIAL,I-MATERIAL
.,O,O
do,O,O
you,O,O
have,O,O
in,O,O
stock,O,O
na,O,O
did,O,O
not,O,O
what,O,O
would,O,O
be,O,O
turn,O,O
around,O,O
time,O,O
and,O,O
pricing,O,O
.,O,O
thanks,O,O
hi,O,O
looking,O,O
for,O,O
a,O,O
24,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
vanity,I-PRODUCT,I-PRODUCT
top,I-PRODUCT,I-PRODUCT
and,I-PRODUCT,O
sink,I-PRODUCT,I-PRODUCT
",",O,O
no,O,O
base,I-N-ATTRIBUTE,I-N-ATTRIBUTE
bathroom,I-PRODUCT,I-PRODUCT
varieties,I-PRODUCT,I-PRODUCT
no,O,O
countertop,I-N-ATTRIBUTE,I-N-ATTRIBUTE
i,O,O
do,O,O
n't,O,O
want,O,O
double,I-N-ATTRIBUTE,I-N-ATTRIBUTE
sink,I-N-PRODUCT,I-N-PRODUCT
",",O,O
i,O,O
want,O,O
a,O,O
rectangle,I-SHAPE,I-SHAPE
sink,I-PRODUCT,I-ATTRIBUTE
looking,O,O
for,O,O
a,O,O
30,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
bathroom,I-PRODUCT,I-PRODUCT
vanity,I-PRODUCT,I-PRODUCT
not,O,O
55,I-N-SIZE,I-N-SIZE
'',I-N-SIZE,I-N-SIZE
i,O,O
am,O,O
looking,O,O
for,O,O
a,O,O
30,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
bathroom,I-PRODUCT,I-PRODUCT
shelf,I-PRODUCT,I-PRODUCT
not,O,O
wall,I-N-ATTRIBUTE,I-N-ATTRIBUTE
mounted,I-N-ATTRIBUTE,I-N-ATTRIBUTE
wall,I-ATTRIBUTE,I-ATTRIBUTE
mount,I-ATTRIBUTE,I-PRODUCT
rectangular,I-SHAPE,I-SHAPE
sink,I-PRODUCT,I-PRODUCT
without,O,O
a,O,O
facet,I-N-ATTRIBUTE,I-N-ATTRIBUTE
hole,I-N-ATTRIBUTE,I-N-ATTRIBUTE
grey,I-COLOUR,I-PRODUCT
toilet,I-PRODUCT,I-PRODUCT
not,O,O
toilet,I-N-PRODUCT,I-N-PRODUCT
brush,I-N-PRODUCT,I-N-PRODUCT
good,O,O
morning,O,O
.,O,O
we,O,O
are,O,O
looking,O,O
for,O,O
chrome,I-MATERIAL,I-MATERIAL
shower,I-PRODUCT,I-PRODUCT
head,I-PRODUCT,I-PRODUCT
with,O,O
high,I-ATTRIBUTE,I-ATTRIBUTE
pressure,I-ATTRIBUTE,I-ATTRIBUTE
-,O,I-ATTRIBUTE
simple,O,I-ATTRIBUTE
no,O,O
bells,O,I-N-ATTRIBUTE
and,O,O
whistles,O,O
just,O,O
good,I-ATTRIBUTE,O
pressure,I-ATTRIBUTE,O
can,O,O
you,O,O
help,O,O
me,O,O
find,O,O
a,O,O
pharmacy,I-PRODUCT,I-PRODUCT
without,O,O
a,O,O
mirror,I-N-ATTRIBUTE,I-N-ATTRIBUTE
18,I-SIZE,I-SIZE
-,I-SIZE,I-SIZE
20,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
wide,I-SIZE,I-SIZE
?,O,O
looking,O,O
for,O,O
a,O,O
double,I-PRODUCT,I-ATTRIBUTE
sink,I-PRODUCT,I-PRODUCT
in,O,O
black,I-COLOUR,I-COLOUR
that,O,O
is,O,O
no,O,O
more,O,O
than,O,O
23,I-SIZE,I-N-SIZE
'',I-SIZE,I-N-SIZE
wide,I-SIZE,I-N-SIZE
.,O,O
does,O,O
this,O,O
exist,O,O
?,O,O
i,O,O
am,O,O
looking,O,O
for,O,O
a,O,O
toilet,I-PRODUCT,I-PRODUCT
seat,I-PRODUCT,I-PRODUCT
without,O,O
undermounted,I-N-ATTRIBUTE,I-N-ATTRIBUTE
hinges,I-N-ATTRIBUTE,I-N-ATTRIBUTE
for,O,O
a,O,O
one,I-ATTRIBUTE,O
piece,I-ATTRIBUTE,O
toilet,I-ATTRIBUTE,I-PRODUCT
do,O,O
you,O,O
have,O,O
mirror,I-PRODUCT,I-PRODUCT
medicine,I-PRODUCT,I-PRODUCT
cabinet,I-PRODUCT,I-PRODUCT
without,O,O
led,I-N-ATTRIBUTE,O
do,O,O
you,O,O
have,O,O
shower,I-PRODUCT,I-PRODUCT
panels,I-PRODUCT,I-PRODUCT
that,O,O
are,O,O
n't,O,O
see,I-N-ATTRIBUTE,O
through,I-N-ATTRIBUTE,O
?,O,O
like,O,O
fronted,I-MATERIAL,O
glass,I-MATERIAL,I-MATERIAL
i,O,O
do,O,O
n't,O,O
need,O,O
a,O,O
vanity,I-N-PRODUCT,I-N-PRODUCT
just,O,O
the,O,O
quartz,I-MATERIAL,I-PRODUCT
top,I-PRODUCT,I-PRODUCT
with,O,O
built,I-ATTRIBUTE,I-ATTRIBUTE
in,I-ATTRIBUTE,I-ATTRIBUTE
